customer_id,timestamp,risk_level,risk_score,txn_count_7d,salary_credits_30d,withdrawals_7d,total_spend_30d,essential_spend_ratio,discretionary_spend_ratio,days_since_salary,hardship_type,account_balance,emi_amount,previous_defaults,loan_from_other_banks
1792,2026-02-18 09:40:32,MEDIUM,3,8,0,7,267.0,0.0,1.0,-1,INCOME_SHOCK,78859.0,6976.0,0,0
3149,2026-02-18 09:40:34,MEDIUM,3,5,0,0,0.0,0.0,0.0,-1,INCOME_SHOCK,57717.0,14048.0,0,0
4308,2026-02-18 09:40:36,UNKNOWN,0,2,0,0,91560.0,0.0,1.0,-1,NONE,33992.0,22890.0,0,0
3002,2026-02-18 09:40:37,UNKNOWN,0,3,0,0,0.0,0.0,0.0,-1,NONE,85331.0,14198.0,0,0
1859,2026-02-18 09:40:38,HIGH,7,7,0,0,6676.0,0.8646,0.1354,-1,INCOME_SHOCK,50904.0,5717.0,0,0
1823,2026-02-18 09:40:39,MEDIUM,3,5,0,0,864.0,0.0,1.0,-1,INCOME_SHOCK,83559.0,22527.0,0,0
4975,2026-02-18 09:40:41,UNKNOWN,0,4,0,0,0.0,0.0,0.0,-1,NONE,38212.0,18908.0,0,0
3888,2026-02-18 09:40:42,MEDIUM,3,6,0,0,66604.0,0.0,1.0,-1,INCOME_SHOCK,81786.0,16651.0,0,0
4380,2026-02-18 09:40:43,UNKNOWN,0,4,0,0,0.0,0.0,0.0,-1,NONE,39748.0,2852.0,0,0
2257,2026-02-18 09:40:44,MEDIUM,3,5,0,0,30004.0,0.0,1.0,-1,INCOME_SHOCK,41922.0,7501.0,0,0
3269,2026-02-18 09:40:46,UNKNOWN,0,4,0,0,0.0,0.0,0.0,-1,NONE,42906.0,41682.0,0,0
2025,2026-02-18 09:40:47,MEDIUM,3,7,0,0,5323.0,0.0,1.0,-1,INCOME_SHOCK,17469.0,3059.0,0,0
699,2026-02-18 09:40:48,UNKNOWN,0,4,0,0,0.0,0.0,0.0,-1,NONE,16505.0,2396.0,0,0
4695,2026-02-18 09:40:49,MEDIUM,3,5,0,0,22908.0,0.0,1.0,-1,INCOME_SHOCK,36254.0,5727.0,0,0
4219,2026-02-18 09:40:52,MEDIUM,3,8,0,3,3992.0,1.0,0.0,-1,INCOME_SHOCK,62958.0,5129.0,0,0
1411,2026-02-18 09:40:53,UNKNOWN,0,4,0,4,5716.0,0.0,1.0,-1,NONE,54734.0,5606.0,0,0
1994,2026-02-18 09:40:54,UNKNOWN,0,4,0,0,4664.0,0.0,1.0,-1,NONE,12814.0,33821.0,0,0
4799,2026-02-18 09:40:54,UNKNOWN,0,2,0,0,12572.0,0.0,1.0,-1,NONE,26441.0,5570.0,0,0
298,2026-02-18 09:40:55,MEDIUM,3,5,0,0,0.0,0.0,0.0,-1,INCOME_SHOCK,20551.0,14410.0,0,0
26,2026-02-18 09:40:56,MEDIUM,3,5,0,0,8992.0,1.0,0.0,-1,INCOME_SHOCK,74101.0,25044.0,0,0
2950,2026-02-18 09:40:57,UNKNOWN,0,4,0,0,0.0,0.0,0.0,-1,NONE,79397.0,14796.0,0,0
1158,2026-02-18 09:40:58,UNKNOWN,0,4,0,4,15888.0,1.0,0.0,-1,NONE,67562.0,6879.0,0,0
1516,2026-02-18 09:40:58,UNKNOWN,0,4,0,4,11920.0,0.0,1.0,-1,NONE,8922.0,9295.0,0,0
1089,2026-02-18 09:40:59,UNKNOWN,0,4,0,0,0.0,0.0,0.0,-1,NONE,79961.0,30234.0,0,0
3794,2026-02-18 09:40:59,UNKNOWN,0,4,0,0,8088.0,1.0,0.0,-1,NONE,7769.0,14680.0,0,0
4840,2026-02-18 09:41:00,MEDIUM,3,10,0,4,6096.0,0.0,1.0,-1,INCOME_SHOCK,21034.0,14794.0,0,0
3021,2026-02-18 09:41:02,HIGH,7,8,0,0,19533.0,1.0,0.0,-1,INCOME_SHOCK,53050.0,13775.0,0,0
4759,2026-02-18 09:41:03,MEDIUM,3,7,0,7,2302.0,0.0,1.0,-1,INCOME_SHOCK,54090.0,7497.0,0,0
2671,2026-02-18 09:41:04,MEDIUM,3,4,0,3,0.0,0.0,0.0,-1,INCOME_SHOCK,80378.0,6859.0,0,0
1086,2026-02-18 09:41:05,UNKNOWN,0,4,0,0,636.0,0.0,1.0,-1,NONE,13085.0,17689.0,0,0
4815,2026-02-18 09:41:06,UNKNOWN,0,4,0,4,0.0,0.0,0.0,-1,NONE,16286.0,10705.0,0,0
3395,2026-02-18 09:41:07,UNKNOWN,0,4,0,0,10592.0,1.0,0.0,-1,NONE,59694.0,31368.0,0,0
1561,2026-02-18 09:41:08,HIGH,7,7,0,0,19536.0,0.3501,0.6499,-1,INCOME_SHOCK,46634.0,17734.0,0,0
796,2026-02-18 09:41:09,MEDIUM,3,7,0,0,9321.0,0.0,1.0,-1,INCOME_SHOCK,75386.0,4701.0,0,0
1355,2026-02-18 09:41:10,UNKNOWN,0,4,0,0,15724.0,0.0,1.0,-1,NONE,63149.0,7515.0,0,0
3112,2026-02-18 09:41:12,UNKNOWN,0,3,0,0,0.0,0.0,0.0,-1,NONE,19617.0,14818.0,0,0
1115,2026-02-18 09:41:13,UNKNOWN,0,4,0,4,9404.0,0.0,1.0,-1,NONE,70282.0,4274.0,0,0
495,2026-02-18 09:41:13,UNKNOWN,0,4,4,0,0.0,0.0,0.0,0,NONE,33033.0,10999.0,0,0
4707,2026-02-18 09:41:15,UNKNOWN,0,4,0,4,6720.0,0.0,1.0,-1,NONE,68400.0,26431.0,0,0
2183,2026-02-18 09:41:17,MEDIUM,5,5,0,0,654.0,1.0,0.0,-1,INCOME_SHOCK,38247.0,4559.0,0,0
1985,2026-02-18 09:41:18,MEDIUM,3,10,0,3,21629.0,0.0,1.0,-1,INCOME_SHOCK,46573.0,29253.0,0,0
2739,2026-02-18 09:41:19,UNKNOWN,0,4,0,4,0.0,0.0,0.0,-1,NONE,76878.0,10806.0,0,0
2117,2026-02-18 09:41:21,MEDIUM,3,7,0,0,11832.0,0.0,1.0,-1,INCOME_SHOCK,8536.0,3099.0,0,0
295,2026-02-18 09:41:22,MEDIUM,3,10,0,0,3915.0,0.0,1.0,-1,INCOME_SHOCK,69599.0,3735.0,0,0
158,2026-02-18 09:41:23,UNKNOWN,0,4,4,0,0.0,0.0,0.0,0,NONE,69138.0,9380.0,0,0
2783,2026-02-18 09:41:24,UNKNOWN,0,3,0,0,3888.0,0.0,1.0,-1,NONE,60276.0,9480.0,0,0
2264,2026-02-18 09:41:25,MEDIUM,3,6,0,0,10038.0,0.0,1.0,-1,INCOME_SHOCK,42690.0,8369.0,0,0
1496,2026-02-18 09:41:27,MEDIUM,3,10,0,3,17015.0,0.4384,0.5616,-1,INCOME_SHOCK,59374.0,3185.0,0,0
1312,2026-02-18 09:41:28,MEDIUM,3,8,0,0,20816.0,0.4881,0.5119,-1,INCOME_SHOCK,57943.0,4516.0,0,0
3279,2026-02-18 09:41:29,MEDIUM,3,7,0,0,8379.0,0.0,1.0,-1,INCOME_SHOCK,13403.0,5774.0,0,0
3651,2026-02-18 09:41:30,UNKNOWN,0,4,0,4,0.0,0.0,0.0,-1,NONE,59666.0,35165.0,0,0
4671,2026-02-18 09:41:31,HIGH,7,13,0,0,13991.0,1.0,0.0,-1,INCOME_SHOCK,88668.0,5519.0,0,0
3745,2026-02-18 09:41:32,UNKNOWN,0,4,0,0,0.0,0.0,0.0,-1,NONE,10617.0,21072.0,0,0
4400,2026-02-18 09:41:33,UNKNOWN,0,4,0,4,11264.0,0.0,1.0,-1,NONE,21110.0,7732.0,0,0
4787,2026-02-18 09:41:35,MEDIUM,5,6,0,4,8585.0,0.4078,0.5922,-1,INCOME_SHOCK,75392.0,12592.0,0,0
4419,2026-02-18 09:41:36,MEDIUM,3,10,0,0,21902.0,0.0,1.0,-1,INCOME_SHOCK,22896.0,8180.0,0,0
1310,2026-02-18 09:41:38,UNKNOWN,0,4,0,0,0.0,0.0,0.0,-1,NONE,19477.0,3195.0,0,0
671,2026-02-18 09:41:39,MEDIUM,3,10,0,0,0.0,0.0,0.0,-1,INCOME_SHOCK,36832.0,8325.0,0,0
1886,2026-02-18 09:41:42,UNKNOWN,0,4,0,0,3256.0,1.0,0.0,-1,NONE,8386.0,12897.0,0,0
2968,2026-02-18 09:41:43,UNKNOWN,0,4,0,0,7220.0,0.0,1.0,-1,NONE,14611.0,5793.0,0,0
532,2026-02-18 09:41:44,MEDIUM,3,10,0,0,14499.0,0.0,1.0,-1,INCOME_SHOCK,50604.0,13670.0,0,0
2766,2026-02-18 09:41:46,MEDIUM,3,7,0,4,32493.0,0.0,1.0,-1,INCOME_SHOCK,44372.0,10831.0,0,0
4121,2026-02-18 09:41:47,MEDIUM,5,6,0,0,12565.0,0.292,0.708,-1,INCOME_SHOCK,85145.0,2224.0,0,0
3085,2026-02-18 09:41:48,MEDIUM,3,7,4,3,0.0,0.0,0.0,0,INCOME_SHOCK,58334.0,42359.0,0,0
3590,2026-02-18 09:41:49,UNKNOWN,0,4,0,0,0.0,0.0,0.0,-1,NONE,60461.0,32053.0,0,0
4501,2026-02-18 09:41:50,UNKNOWN,0,4,0,0,13512.0,1.0,0.0,-1,NONE,73353.0,3573.0,0,0
2570,2026-02-18 09:41:51,UNKNOWN,0,4,0,0,0.0,0.0,0.0,-1,NONE,52037.0,3045.0,0,0
2831,2026-02-18 09:41:53,MEDIUM,3,8,0,7,5292.0,0.0,1.0,-1,INCOME_SHOCK,10134.0,7789.0,0,0
1542,2026-02-18 09:41:53,UNKNOWN,0,2,0,0,1140.0,1.0,0.0,-1,NONE,66116.0,23810.0,0,0
1117,2026-02-18 09:41:54,UNKNOWN,0,4,0,0,0.0,0.0,0.0,-1,NONE,75402.0,12068.0,0,0
4087,2026-02-18 09:41:55,HIGH,7,7,0,0,22017.0,0.2827,0.7173,-1,INCOME_SHOCK,5399.0,10250.0,0,0
1070,2026-02-18 09:41:55,UNKNOWN,0,4,0,4,0.0,0.0,0.0,-1,NONE,21765.0,3248.0,0,0
3752,2026-02-18 09:41:57,UNKNOWN,0,4,0,0,0.0,0.0,0.0,-1,NONE,18043.0,8074.0,0,0
273,2026-02-18 09:41:58,MEDIUM,3,10,0,3,17175.0,0.0,1.0,-1,INCOME_SHOCK,59121.0,39884.0,0,0
3475,2026-02-18 09:41:59,MEDIUM,3,7,0,0,7860.0,0.0,1.0,-1,INCOME_SHOCK,87121.0,1176.0,0,0
2768,2026-02-18 09:42:00,UNKNOWN,0,4,0,4,0.0,0.0,0.0,-1,NONE,65532.0,19601.0,0,0
36,2026-02-18 09:42:01,UNKNOWN,0,3,0,0,0.0,0.0,0.0,-1,NONE,12875.0,14433.0,0,0
415,2026-02-18 09:42:02,MEDIUM,3,5,0,0,7892.0,0.0,1.0,-1,INCOME_SHOCK,16286.0,1973.0,0,0
2224,2026-02-18 09:42:03,UNKNOWN,0,4,4,0,0.0,0.0,0.0,0,NONE,43675.0,9929.0,0,0
2099,2026-02-18 09:42:04,UNKNOWN,0,4,0,0,26684.0,0.0,1.0,-1,NONE,40686.0,6671.0,0,0
1342,2026-02-18 09:42:05,MEDIUM,3,7,0,0,13464.0,1.0,0.0,-1,INCOME_SHOCK,42221.0,21049.0,0,0
4548,2026-02-18 09:42:06,MEDIUM,3,7,0,0,7640.0,0.0,1.0,-1,INCOME_SHOCK,70619.0,9129.0,0,0
4663,2026-02-18 09:42:07,MEDIUM,3,5,0,4,7500.0,1.0,0.0,-1,INCOME_SHOCK,36753.0,8660.0,0,0
3696,2026-02-18 09:42:09,UNKNOWN,0,4,0,0,0.0,0.0,0.0,-1,NONE,8031.0,4580.0,0,0
855,2026-02-18 09:42:10,UNKNOWN,0,4,0,0,14652.0,0.0,1.0,-1,NONE,18087.0,7364.0,0,0
4708,2026-02-18 09:42:11,UNKNOWN,0,4,0,0,3052.0,1.0,0.0,-1,NONE,42102.0,26870.0,0,0
1303,2026-02-18 09:42:12,UNKNOWN,0,2,0,0,7632.0,0.0,1.0,-1,NONE,10403.0,6344.0,0,0
3926,2026-02-18 09:42:13,UNKNOWN,0,2,0,0,0.0,0.0,0.0,-1,NONE,35229.0,8353.0,0,0
3069,2026-02-18 09:42:14,UNKNOWN,0,4,0,0,11604.0,0.0,1.0,-1,NONE,16757.0,34354.0,0,0
693,2026-02-18 09:42:16,MEDIUM,3,7,0,3,0.0,0.0,0.0,-1,INCOME_SHOCK,80686.0,2057.0,0,0
3795,2026-02-18 09:42:16,UNKNOWN,0,4,0,0,0.0,0.0,0.0,-1,NONE,56443.0,12491.0,0,0
1954,2026-02-18 09:42:18,UNKNOWN,0,4,0,0,0.0,0.0,0.0,-1,NONE,74270.0,7527.0,0,0
2889,2026-02-18 09:42:19,MEDIUM,3,6,0,0,15502.0,0.0,1.0,-1,INCOME_SHOCK,10314.0,7751.0,0,0
2733,2026-02-18 09:42:20,MEDIUM,3,7,0,0,12880.0,0.0,1.0,-1,INCOME_SHOCK,33253.0,5265.0,0,0
1005,2026-02-18 09:42:21,UNKNOWN,0,4,0,0,6700.0,0.0,1.0,-1,NONE,72816.0,4383.0,0,0
4559,2026-02-18 09:42:21,HIGH,7,7,0,0,47263.0,0.124,0.876,-1,INCOME_SHOCK,22629.0,10351.0,0,0
861,2026-02-18 09:42:23,LOW,0,13,3,3,0.0,0.0,0.0,0,NONE,11309.0,19695.0,0,0
2832,2026-02-18 09:42:24,MEDIUM,3,7,0,4,7242.0,0.0,1.0,-1,INCOME_SHOCK,55764.0,26609.0,0,0
1433,2026-02-18 09:42:26,UNKNOWN,0,4,0,0,0.0,0.0,0.0,-1,NONE,55165.0,5997.0,0,0
4292,2026-02-18 09:42:28,UNKNOWN,0,4,0,0,0.0,0.0,0.0,-1,NONE,34392.0,5399.0,0,0
1341,2026-02-18 09:42:29,UNKNOWN,0,2,0,4,4784.0,1.0,0.0,-1,NONE,49074.0,37325.0,0,0
157,2026-02-18 09:42:30,UNKNOWN,0,2,4,0,0.0,0.0,0.0,0,NONE,13033.0,8938.0,0,0
3040,2026-02-18 09:42:32,UNKNOWN,0,4,0,0,0.0,0.0,0.0,-1,NONE,50739.0,9300.0,0,0
2536,2026-02-18 09:42:33,UNKNOWN,0,4,4,0,0.0,0.0,0.0,0,NONE,64492.0,20561.0,0,0
3438,2026-02-18 09:42:34,UNKNOWN,0,3,0,0,6084.0,0.0,1.0,-1,NONE,20211.0,18957.0,0,0
2095,2026-02-18 09:42:35,HIGH,7,10,0,3,20069.0,0.6929,0.3071,-1,INCOME_SHOCK,52874.0,12191.0,0,0
742,2026-02-18 09:42:36,MEDIUM,3,6,0,4,16580.0,0.3674,0.6326,-1,INCOME_SHOCK,55867.0,1630.0,0,0
2,2026-02-18 09:42:37,UNKNOWN,0,4,0,0,26596.0,0.0,1.0,-1,NONE,43432.0,6649.0,0,0
2499,2026-02-18 09:42:37,MEDIUM,3,7,0,0,3972.0,0.0,1.0,-1,INCOME_SHOCK,17659.0,14451.0,0,0
3985,2026-02-18 09:42:38,MEDIUM,3,5,0,0,11936.0,1.0,0.0,-1,INCOME_SHOCK,78913.0,36614.0,0,0
2325,2026-02-18 09:42:39,UNKNOWN,0,4,0,0,42580.0,0.0,1.0,-1,NONE,35279.0,10645.0,0,0
521,2026-02-18 09:42:40,UNKNOWN,0,4,0,0,0.0,0.0,0.0,-1,NONE,29008.0,10091.0,0,0
4352,2026-02-18 09:42:41,UNKNOWN,0,4,0,0,0.0,0.0,0.0,-1,NONE,76442.0,2816.0,0,0
1002,2026-02-18 09:42:42,MEDIUM,3,5,0,0,10696.0,1.0,0.0,-1,INCOME_SHOCK,33563.0,14832.0,0,0
2198,2026-02-18 09:42:44,MEDIUM,3,7,0,0,8272.0,0.0,1.0,-1,INCOME_SHOCK,55819.0,4094.0,0,0
4778,2026-02-18 09:42:45,UNKNOWN,0,4,0,0,0.0,0.0,0.0,-1,NONE,73327.0,38355.0,0,0
3874,2026-02-18 09:42:46,MEDIUM,3,5,0,0,0.0,0.0,0.0,-1,INCOME_SHOCK,45869.0,7982.0,0,0
1530,2026-02-18 09:42:48,MEDIUM,3,8,0,4,0.0,0.0,0.0,-1,INCOME_SHOCK,50179.0,19067.0,0,0
1287,2026-02-18 09:42:49,UNKNOWN,0,4,0,0,13124.0,0.0,1.0,-1,NONE,12117.0,3240.0,0,0
1650,2026-02-18 09:42:49,MEDIUM,3,10,0,3,21446.0,0.0,1.0,-1,INCOME_SHOCK,34306.0,23490.0,0,0
3630,2026-02-18 09:42:51,LOW,0,7,3,0,4568.0,0.0,1.0,0,NONE,17562.0,13886.0,0,0
296,2026-02-18 09:42:52,MEDIUM,3,5,0,0,14229.0,0.8903,0.1097,-1,INCOME_SHOCK,54825.0,30234.0,0,0
4958,2026-02-18 09:42:54,MEDIUM,3,5,0,0,0.0,0.0,0.0,-1,INCOME_SHOCK,29742.0,5239.0,0,0
3558,2026-02-18 09:42:55,UNKNOWN,0,4,0,0,2244.0,0.0,1.0,-1,NONE,33321.0,10051.0,0,0
3808,2026-02-18 09:42:57,HIGH,7,7,0,0,11065.0,1.0,0.0,-1,INCOME_SHOCK,77600.0,7915.0,0,0
1291,2026-02-18 09:42:58,UNKNOWN,0,3,0,4,3564.0,0.0,1.0,-1,NONE,8818.0,8959.0,0,0
2277,2026-02-18 09:42:59,LOW,0,11,3,0,7040.0,0.0,1.0,0,NONE,46435.0,7759.0,0,0
754,2026-02-18 09:43:01,UNKNOWN,0,4,0,0,0.0,0.0,0.0,-1,NONE,6571.0,28952.0,0,0
310,2026-02-18 09:43:02,HIGH,7,10,0,7,13205.0,1.0,0.0,-1,INCOME_SHOCK,52210.0,1401.0,0,0
240,2026-02-18 09:43:03,UNKNOWN,0,4,0,4,0.0,0.0,0.0,-1,NONE,35768.0,11073.0,0,0
2311,2026-02-18 09:43:05,UNKNOWN,0,4,0,0,0.0,0.0,0.0,-1,NONE,47317.0,7265.0,0,0
901,2026-02-18 09:43:06,MEDIUM,3,5,0,0,0.0,0.0,0.0,-1,INCOME_SHOCK,47698.0,13051.0,0,0
1110,2026-02-18 09:43:08,UNKNOWN,0,3,0,0,0.0,0.0,0.0,-1,NONE,70144.0,7847.0,0,0
3204,2026-02-18 09:43:10,MEDIUM,3,5,0,0,1156.0,0.0,1.0,-1,INCOME_SHOCK,70971.0,6163.0,0,0
2086,2026-02-18 09:43:11,MEDIUM,3,5,0,0,0.0,0.0,0.0,-1,INCOME_SHOCK,51666.0,12118.0,0,0
941,2026-02-18 09:43:12,UNKNOWN,0,4,0,4,13012.0,0.0,1.0,-1,NONE,51637.0,2313.0,0,0
2691,2026-02-18 09:43:13,MEDIUM,3,5,0,0,4764.0,1.0,0.0,-1,INCOME_SHOCK,75764.0,7370.0,0,0
1201,2026-02-18 09:43:15,UNKNOWN,0,4,0,0,0.0,0.0,0.0,-1,NONE,85044.0,21027.0,0,0
3325,2026-02-18 09:43:17,HIGH,7,9,0,0,100331.0,0.0289,0.9711,-1,INCOME_SHOCK,26926.0,24359.0,0,0
2381,2026-02-18 09:43:18,UNKNOWN,0,4,0,0,668.0,0.0,1.0,-1,NONE,74894.0,37730.0,0,0
2133,2026-02-18 09:43:19,UNKNOWN,0,4,0,0,0.0,0.0,0.0,-1,NONE,41754.0,8021.0,0,0
4601,2026-02-18 09:43:19,UNKNOWN,0,1,0,0,0.0,0.0,0.0,-1,NONE,27459.0,12054.0,0,0
3875,2026-02-18 09:43:21,MEDIUM,3,7,0,0,18535.0,0.0,1.0,-1,INCOME_SHOCK,46717.0,8515.0,0,0
2246,2026-02-18 09:43:23,UNKNOWN,0,3,0,0,2860.0,0.0,1.0,-1,NONE,79979.0,14232.0,0,0
49,2026-02-18 09:43:25,MEDIUM,3,5,0,0,0.0,0.0,0.0,-1,INCOME_SHOCK,79387.0,10090.0,0,0
893,2026-02-18 09:43:26,UNKNOWN,0,4,0,0,0.0,0.0,0.0,-1,NONE,58098.0,4198.0,0,0
2190,2026-02-18 09:43:27,MEDIUM,3,8,0,0,3559.0,0.0,1.0,-1,INCOME_SHOCK,86343.0,25217.0,0,0
560,2026-02-18 09:43:29,UNKNOWN,0,4,0,0,0.0,0.0,0.0,-1,NONE,48075.0,43356.0,0,0
356,2026-02-18 09:43:31,UNKNOWN,0,4,0,4,0.0,0.0,0.0,-1,NONE,41303.0,21252.0,0,0
928,2026-02-18 09:43:32,UNKNOWN,0,4,0,0,0.0,0.0,0.0,-1,NONE,38139.0,13779.0,0,0
4794,2026-02-18 09:43:34,UNKNOWN,0,4,0,0,3472.0,0.0,1.0,-1,NONE,86276.0,25682.0,0,0
3683,2026-02-18 09:43:35,MEDIUM,3,11,0,3,16063.0,0.8078,0.1922,-1,INCOME_SHOCK,36093.0,14248.0,0,0
337,2026-02-18 09:43:36,MEDIUM,3,7,0,0,600.0,0.0,1.0,-1,INCOME_SHOCK,17832.0,7586.0,0,0
1649,2026-02-18 09:43:37,MEDIUM,3,7,0,4,11433.0,0.0,1.0,-1,INCOME_SHOCK,21440.0,7491.0,0,0
4535,2026-02-18 09:43:38,UNKNOWN,0,4,0,4,0.0,0.0,0.0,-1,NONE,6872.0,3748.0,0,0
4008,2026-02-18 09:43:40,MEDIUM,3,8,0,0,9765.0,0.0,1.0,-1,INCOME_SHOCK,51500.0,44042.0,0,0
1538,2026-02-18 09:43:41,MEDIUM,3,7,0,4,46827.0,0.0,1.0,-1,INCOME_SHOCK,53758.0,13945.0,0,0
1971,2026-02-18 09:43:42,UNKNOWN,0,4,4,0,0.0,0.0,0.0,0,NONE,24822.0,15016.0,0,0
1074,2026-02-18 09:43:44,MEDIUM,3,7,4,0,0.0,0.0,0.0,0,INCOME_SHOCK,45878.0,16041.0,0,0
1852,2026-02-18 09:43:45,MEDIUM,3,7,0,0,32298.0,0.0,1.0,-1,INCOME_SHOCK,16769.0,7578.0,0,0
3248,2026-02-18 09:43:49,MEDIUM,3,7,0,0,7032.0,0.0,1.0,-1,INCOME_SHOCK,39030.0,3681.0,0,0
