customer_id,age,city,employment_type,salary,expected_salary_day,loan_amount,loan_tenure_months,emi_amount,loan_start_date,initial_balance
37,47,Rodneychester,UNEMPLOYED,49671,25,137060,24,6167,2025-10-29,87282
38,56,Sandraview,SALARIED,96149,6,462164,48,10398,2025-05-05,25553
39,32,Smithton,SALARIED,82420,6,317957,12,28616,2025-11-12,86183
40,60,West Kendrafort,SELF_EMPLOYED,81296,7,270744,36,8122,2025-03-04,69727
41,43,Carlaberg,GIG_WORKER,45946,19,491423,12,44228,2025-12-05,5190
42,24,East Stephanieburgh,GIG_WORKER,31518,20,133729,24,6017,2025-12-26,45886
43,23,Williamport,GIG_WORKER,34638,16,444207,48,9994,2025-08-15,76364
44,45,New Alisha,SELF_EMPLOYED,31091,17,51241,24,2305,2025-11-20,63814
45,28,Melindashire,GIG_WORKER,52475,12,69162,48,1556,2025-10-19,63432
46,29,Lake Janet,SELF_EMPLOYED,27888,17,282697,48,6360,2025-02-20,37671
47,27,Simsside,UNEMPLOYED,40757,19,319477,24,14376,2025-12-20,30648
48,29,Fitzgeraldton,SELF_EMPLOYED,62423,15,287662,36,8629,2025-06-14,71910
49,38,East Alicia,SALARIED,60076,6,336342,36,10090,2025-07-04,79387
50,37,Lake Benjaminchester,UNEMPLOYED,19932,12,486566,36,14596,2025-04-29,29477
51,34,Lake Anthonyhaven,SELF_EMPLOYED,66961,9,201454,12,18130,2025-10-09,25637
52,54,Hamptonport,UNEMPLOYED,18556,24,192468,24,8661,2025-07-25,48021
53,42,West Sharon,UNEMPLOYED,16614,19,366522,36,10995,2025-09-14,24936
54,29,East Johnhaven,SELF_EMPLOYED,64474,17,116636,36,3499,2025-06-05,10746
55,28,Mcfarlandfort,UNEMPLOYED,58255,19,365586,48,8225,2025-09-10,59242
56,39,Annamouth,SELF_EMPLOYED,54269,11,253303,24,11398,2025-02-19,70964
57,23,Port Juanport,GIG_WORKER,37327,11,254922,36,7647,2025-04-22,85201
58,45,Port Nancyport,SELF_EMPLOYED,32674,14,228219,24,10269,2026-01-11,19666
59,21,West Richard,SELF_EMPLOYED,54023,14,91048,48,2048,2025-08-01,76950
60,45,Lesliebury,GIG_WORKER,56406,27,331922,12,29872,2025-09-27,66886
61,44,Michaelfort,GIG_WORKER,15398,16,274545,36,8236,2025-03-21,56170
62,38,Lake Melissabury,GIG_WORKER,32815,11,173380,36,5201,2025-04-23,34235
63,24,East Diana,SALARIED,48959,7,72928,12,6563,2025-09-26,74285
64,58,Brittanyshire,UNEMPLOYED,45943,19,368636,48,8294,2026-01-05,69890
65,28,Youngmouth,UNEMPLOYED,43847,21,111394,36,3341,2025-06-29,42186
66,39,Thomasbury,GIG_WORKER,15779,13,400734,12,36066,2025-11-29,12732
67,58,New Jamesborough,UNEMPLOYED,49809,16,222651,48,5009,2025-09-10,21486
68,54,Lake Melissamouth,UNEMPLOYED,24114,15,476424,48,10719,2025-03-08,74296
69,31,East Angela,SALARIED,106191,6,486148,48,10938,2025-11-28,67577
70,39,East Michelle,GIG_WORKER,59168,25,284190,48,6394,2025-05-21,44429
71,26,West Sharonport,SELF_EMPLOYED,39449,12,312361,12,28112,2025-03-02,71917
72,45,Brownside,GIG_WORKER,16515,28,405875,12,36528,2025-05-09,59650
73,54,Martinezfurt,UNEMPLOYED,59828,28,499785,36,14993,2025-08-19,50754
74,54,East Adamburgh,SELF_EMPLOYED,54153,14,169047,12,15214,2025-05-08,8004
75,34,Shellyside,UNEMPLOYED,31766,28,266918,48,6005,2025-03-08,74524
76,46,Jacksonmouth,GIG_WORKER,58117,14,450962,12,40586,2025-05-17,13968
77,32,New Valeriehaven,SELF_EMPLOYED,81506,20,413487,24,18606,2025-08-23,21267
78,55,Cabreraborough,SELF_EMPLOYED,33326,5,142701,12,12843,2025-04-26,11273
79,53,Lake Joannafurt,GIG_WORKER,53569,10,487245,36,14617,2025-06-29,8225
80,45,Wilcoxside,GIG_WORKER,52348,19,487790,24,21950,2025-03-11,77841
81,25,Williamsburgh,GIG_WORKER,41916,24,409801,48,9220,2025-04-10,12269
82,55,Kevinburgh,SALARIED,80661,6,102791,36,3083,2025-10-04,15088
83,39,Brandonport,SALARIED,95623,1,346910,24,15610,2025-06-10,49149
84,27,North Joyview,SELF_EMPLOYED,53875,18,440485,12,39643,2025-06-03,55362
85,56,Maryville,GIG_WORKER,53609,26,470380,48,10583,2025-06-20,16789
86,37,West Jimmyfurt,GIG_WORKER,17607,15,497007,24,22365,2025-03-28,67409
87,55,West Kristin,SALARIED,72737,7,232685,24,10470,2025-06-18,85781
88,26,West Lukeborough,SELF_EMPLOYED,38728,20,288679,48,6495,2025-03-04,62014
89,35,South Stephanie,SELF_EMPLOYED,88075,11,128519,36,3855,2025-07-17,7608
90,41,Jeffreyfurt,SALARIED,114534,3,357923,48,8053,2025-12-21,38858
91,47,Amandaburgh,GIG_WORKER,59038,12,230476,48,5185,2025-05-06,15906
92,52,Martinezton,SELF_EMPLOYED,60176,10,221300,12,19917,2025-10-31,39054
93,56,Stephanietown,SALARIED,25557,4,365021,24,16425,2025-10-31,73216
94,23,Roseton,UNEMPLOYED,38252,22,282866,24,12728,2025-10-31,43322
95,43,West Jennifer,SALARIED,76788,1,165076,24,7428,2025-09-11,79875
96,34,North Natashafurt,GIG_WORKER,58235,16,235860,24,10613,2025-08-15,31913
97,58,Davidview,SALARIED,118059,1,417023,36,12510,2025-12-09,63222
98,46,Mullinsland,SELF_EMPLOYED,89732,10,306176,24,13777,2025-10-12,83269
99,27,North Elizabeth,SALARIED,30195,5,410435,24,18469,2025-05-13,53514
100,56,South Cherylport,SALARIED,55625,5,354862,36,10645,2025-11-08,19382
101,40,Nealshire,UNEMPLOYED,53758,18,149517,36,4485,2025-07-24,37260
102,29,West George,SALARIED,119740,3,298529,12,26867,2025-09-22,10403
103,55,Rodriguezstad,GIG_WORKER,25418,21,431480,36,12944,2025-07-19,52385
104,35,Lake Yvonne,UNEMPLOYED,34080,21,369510,24,16627,2025-12-24,79296
105,37,Shirleyborough,SELF_EMPLOYED,82766,6,179301,36,5379,2025-07-23,59248
106,54,Amandashire,SALARIED,50283,6,128539,12,11568,2025-02-25,28461
107,47,Tylerborough,UNEMPLOYED,32382,20,461089,48,10374,2026-01-10,5653
108,25,Port Jeremymouth,SELF_EMPLOYED,73177,15,74188,36,2225,2025-10-06,37433
109,28,Cathyborough,UNEMPLOYED,32041,16,331489,24,14917,2025-10-25,86130
110,41,Lake Tanyafurt,UNEMPLOYED,41185,18,148864,36,4465,2025-07-15,71246
111,24,North Maria,SELF_EMPLOYED,85848,17,62908,24,2830,2025-09-23,69302
112,52,Anthonyland,SALARIED,46767,4,376856,24,16958,2026-01-06,60664
113,35,South Brent,SALARIED,57267,1,209445,36,6283,2025-08-12,8869
114,48,Ryanberg,GIG_WORKER,28148,26,380779,36,11423,2025-05-17,69938
115,23,North Jeremiahton,GIG_WORKER,22418,28,268138,48,6033,2025-06-06,50705
116,57,North Amanda,SALARIED,111287,3,468186,24,21068,2025-10-03,61043
117,37,Port Patrick,GIG_WORKER,51071,22,111843,12,10065,2025-11-06,35359
118,49,Chenbury,SELF_EMPLOYED,47384,16,67293,48,1514,2025-04-10,49764
119,40,Lake Jermaine,SALARIED,94321,3,305205,36,9156,2026-01-08,46173
120,36,Pittsview,UNEMPLOYED,36319,13,332069,24,14943,2025-09-25,13542
121,53,Port Phillipmouth,GIG_WORKER,48521,12,296445,24,13340,2025-03-21,18923
122,28,Michaelton,SELF_EMPLOYED,66361,20,248980,12,22408,2025-03-08,19144
123,25,West Richardport,GIG_WORKER,59107,26,458025,36,13740,2025-05-14,79028
124,23,New John,SELF_EMPLOYED,35729,20,103004,48,2317,2025-06-12,59816
125,47,North Kellyburgh,UNEMPLOYED,25345,25,440715,36,13221,2025-12-06,27056
126,31,East Erin,GIG_WORKER,40336,23,79898,48,1797,2025-10-09,36659
127,41,East Michael,SALARIED,56263,1,228462,36,6853,2025-11-06,32377
128,38,Kimberlyhaven,GIG_WORKER,30996,11,379436,48,8537,2026-01-12,54593
129,24,Port Daniel,SALARIED,63639,7,113585,36,3407,2025-07-24,34938
130,39,South Larry,GIG_WORKER,52216,25,158756,36,4762,2025-09-14,27343
131,57,Lake Charleschester,SALARIED,94918,6,343195,48,7721,2025-05-09,48836
132,57,Hillborough,SALARIED,108589,1,377095,12,33938,2025-08-16,47335
133,27,Port Dustinchester,GIG_WORKER,52585,22,370798,36,11123,2025-02-22,33459
134,57,Ericchester,SALARIED,65190,7,220346,24,9915,2025-10-31,61747
135,55,New Bryanfurt,UNEMPLOYED,53887,14,451463,24,20315,2025-02-26,33460
136,25,Walkerton,SALARIED,116090,2,343325,12,30899,2025-06-12,32388
137,54,Ortizview,UNEMPLOYED,57105,24,112855,24,5078,2025-03-14,42711
138,22,Robertburgh,UNEMPLOYED,48848,10,240857,48,5419,2025-03-15,12684
139,54,New Norma,GIG_WORKER,57820,18,128917,36,3867,2025-06-21,13241
140,47,New Paul,UNEMPLOYED,25186,16,483170,12,43485,2025-12-23,32734
141,41,Penastad,GIG_WORKER,40104,10,138800,24,6246,2025-10-30,87631
142,37,Jonesstad,GIG_WORKER,24305,15,200125,24,9005,2025-04-22,65652
143,30,Diazburgh,GIG_WORKER,33155,16,151043,24,6796,2025-07-11,6440
144,43,Sandrashire,GIG_WORKER,42786,27,194133,48,4367,2025-04-01,83003
145,57,Franciscobury,SALARIED,50166,6,138704,12,12483,2025-07-24,29152
146,37,Jamieburgh,SELF_EMPLOYED,81366,13,447031,36,13410,2025-11-27,58398
147,25,East Jessicaton,SELF_EMPLOYED,93962,11,232697,12,20942,2026-01-10,60012
148,54,South Laura,SELF_EMPLOYED,92694,14,466102,36,13983,2025-06-24,49244
149,34,North Rose,GIG_WORKER,37805,19,311816,12,28063,2025-03-22,79493
150,49,Port Vickie,SALARIED,65006,7,404337,12,36390,2025-07-05,42072
151,48,North Andrew,SELF_EMPLOYED,25818,14,397338,48,8940,2025-10-12,33777
152,53,Joannefurt,SALARIED,29133,1,185209,24,8334,2025-07-03,24920
153,27,East Amandaside,SELF_EMPLOYED,90609,15,113472,48,2553,2025-04-04,65976
154,60,Millerbury,SALARIED,115722,1,403708,48,9083,2025-04-15,45720
155,54,East Jacob,SALARIED,69593,1,87710,12,7893,2025-07-22,72532
156,25,Adamport,UNEMPLOYED,29393,19,419008,12,37710,2025-09-23,44301
157,21,Lake Leslie,GIG_WORKER,41158,27,297941,36,8938,2025-02-25,13033
158,36,Nicoleton,SELF_EMPLOYED,97046,5,208445,24,9380,2025-03-29,69138
159,59,Ramirezchester,SALARIED,37543,6,369383,36,11081,2025-12-10,48215
160,21,North Daisy,UNEMPLOYED,49850,12,113364,12,10202,2025-11-07,61499
161,43,Bradleyshire,SELF_EMPLOYED,97948,13,471044,12,42393,2025-05-16,39557
162,52,Jenniferchester,GIG_WORKER,23276,18,248499,12,22364,2025-09-12,6524
163,40,Rodriguezmouth,UNEMPLOYED,19047,14,132020,12,11881,2025-11-27,55369
164,22,South Holly,SALARIED,108488,1,195584,24,8801,2025-05-08,38393
165,56,Mcclainton,SELF_EMPLOYED,90837,12,142073,36,4262,2025-08-21,81364
166,37,East Christina,UNEMPLOYED,45062,25,92949,12,8365,2025-11-07,37936
167,32,Derekmouth,UNEMPLOYED,21967,23,62872,24,2829,2025-08-23,51021
168,47,South Joseph,UNEMPLOYED,31833,17,311320,24,14009,2025-11-07,51463
169,45,East Debramouth,UNEMPLOYED,39455,10,201377,12,18123,2025-12-23,27383
170,55,West Loganhaven,SELF_EMPLOYED,90635,20,217652,12,19588,2025-02-21,46295
171,39,South John,GIG_WORKER,39878,28,147998,12,13319,2025-09-12,78649
172,35,West Christopher,SALARIED,34385,4,310099,12,27908,2025-03-10,54919
173,27,East Erin,UNEMPLOYED,27155,26,457858,24,20603,2025-06-17,50553
174,26,Davidburgh,SELF_EMPLOYED,98502,19,137293,48,3089,2025-08-13,45946
175,36,Masonberg,GIG_WORKER,30039,21,366324,48,8242,2025-09-14,70051
176,39,Jessicaview,SELF_EMPLOYED,86842,13,187409,48,4216,2025-07-10,10211
177,24,Collinchester,UNEMPLOYED,57217,16,76529,24,3443,2025-11-15,16212
178,28,North Dylan,SELF_EMPLOYED,84498,13,321935,12,28974,2025-09-07,83805
179,35,Matthewfurt,UNEMPLOYED,27949,19,190096,48,4277,2025-06-13,79149
180,34,Aprilfort,SELF_EMPLOYED,48353,9,431179,24,19403,2025-12-07,19627
181,31,Port Laurahaven,GIG_WORKER,55972,25,189108,48,4254,2025-03-09,59038
182,47,West Elizabeth,SELF_EMPLOYED,22819,19,226295,24,10183,2025-05-21,89923
183,24,Richardmouth,GIG_WORKER,38127,13,251033,48,5648,2025-04-19,89302
184,41,North Jacobshire,SALARIED,89357,6,472897,36,14186,2025-03-06,21318
185,40,Jasonmouth,UNEMPLOYED,15368,12,241654,48,5437,2025-12-09,88574
186,52,Coxside,SELF_EMPLOYED,79732,17,255388,36,7661,2025-11-22,46300
187,31,Kleinville,SELF_EMPLOYED,49585,11,428770,36,12863,2025-04-21,36226
188,41,Port Jacobtown,GIG_WORKER,39887,18,427846,36,12835,2025-06-20,41873
189,34,Nicoleburgh,SELF_EMPLOYED,41677,13,169422,12,15247,2025-03-08,15412
190,50,Lake Christopher,SELF_EMPLOYED,95004,6,147212,48,3312,2025-02-14,46423
191,26,Sandyville,SALARIED,89594,5,113019,24,5085,2025-02-15,15379
192,47,Candacefort,UNEMPLOYED,27782,16,218511,12,19665,2026-01-04,16312
193,24,East Samuelmouth,UNEMPLOYED,56532,10,423989,36,12719,2025-04-07,12390
194,47,Allenview,GIG_WORKER,28382,27,467322,36,14019,2025-04-16,71569
195,42,Diazstad,UNEMPLOYED,32816,19,115656,48,2602,2025-12-25,41909
196,43,Port Brandonborough,SELF_EMPLOYED,48740,12,328012,48,7380,2025-12-25,79836
197,52,North Christopher,UNEMPLOYED,24114,11,124492,48,2801,2025-11-03,79502
198,54,Lake Brianview,GIG_WORKER,20830,17,341483,48,7683,2025-09-08,77183
199,51,West Kentburgh,UNEMPLOYED,39523,19,176172,24,7927,2025-07-02,35453
200,49,Johnnymouth,SALARIED,37578,3,301115,48,6775,2025-10-16,44370
201,47,Susanton,SALARIED,78038,3,495429,36,14862,2025-09-27,35337
202,30,North Johnmouth,UNEMPLOYED,59147,10,250499,24,11272,2025-03-10,78439
203,25,North Josephhaven,GIG_WORKER,40944,12,434695,36,13040,2025-10-14,89274
204,22,Ralphchester,UNEMPLOYED,24532,28,73174,24,3292,2025-12-27,20915
205,43,Jenniferfort,SALARIED,56539,5,153693,24,6916,2026-01-03,6693
206,40,Mcintoshhaven,SELF_EMPLOYED,78206,13,125680,48,2827,2025-07-02,73106
207,33,Lake Brandytown,SALARIED,62380,2,154655,24,6959,2025-11-01,71694
208,28,South Maryborough,SALARIED,116199,5,145407,36,4362,2025-03-21,67869
209,22,East Theresa,SELF_EMPLOYED,66222,12,298692,12,26882,2025-09-11,28991
210,26,Melissatown,SALARIED,103798,1,305915,12,27532,2025-03-14,27533
211,38,Ramirezborough,SELF_EMPLOYED,95374,5,54573,12,4911,2025-11-21,35415
212,37,Johnsonmouth,SELF_EMPLOYED,43822,20,224194,24,10088,2025-03-12,73552
213,58,Port Melissa,UNEMPLOYED,28952,18,493477,24,22206,2025-02-24,51926
214,26,New Jamesfort,UNEMPLOYED,20947,28,222815,36,6684,2025-03-30,35658
215,32,New Nancy,GIG_WORKER,34626,12,318742,48,7171,2026-01-11,22927
216,54,Stephenchester,GIG_WORKER,52681,19,257909,48,5802,2025-03-06,5433
217,38,Port Timothyborough,UNEMPLOYED,34071,20,133298,24,5998,2025-12-19,42416
218,59,Mcknightchester,GIG_WORKER,19501,20,322286,24,14502,2025-08-08,48950
219,46,North Michelle,GIG_WORKER,59315,26,420279,12,37825,2025-06-20,34629
220,21,Alexisburgh,UNEMPLOYED,29627,23,78386,12,7054,2025-07-20,33366
221,30,East Dianatown,SELF_EMPLOYED,33809,14,364200,12,32778,2025-03-13,89436
222,51,Kylemouth,SELF_EMPLOYED,20548,7,412015,24,18540,2025-10-21,55617
223,25,Taylortown,UNEMPLOYED,29119,11,403899,36,12116,2025-10-24,81598
224,32,New Calvin,UNEMPLOYED,46745,25,256680,24,11550,2025-09-23,5139
225,36,Lisaport,SALARIED,85319,4,198182,12,17836,2025-11-02,78951
226,30,Loweton,UNEMPLOYED,35840,13,102268,24,4602,2025-08-03,83337
227,37,South Meganfort,SALARIED,66914,4,453099,12,40778,2025-02-16,73673
228,28,Deanfort,GIG_WORKER,18698,18,393402,48,8851,2025-06-02,77259
229,28,Reneehaven,UNEMPLOYED,41405,23,150721,36,4521,2025-12-18,22406
230,52,Lake Davidfurt,GIG_WORKER,18929,25,271894,48,6117,2026-01-05,28000
231,32,Daviston,SELF_EMPLOYED,31479,12,455373,36,13661,2025-11-20,42418
232,42,Fitzgeraldborough,UNEMPLOYED,49796,26,486100,36,14583,2025-05-25,43775
233,32,Ramirezton,GIG_WORKER,56430,12,277196,12,24947,2025-05-25,86016
234,29,New David,UNEMPLOYED,21181,25,181982,36,5459,2025-03-03,69258
235,51,New Joan,UNEMPLOYED,39248,10,412530,24,18563,2025-06-18,69099
236,45,Myerstown,UNEMPLOYED,38842,16,432262,48,9725,2025-08-18,86727
237,38,Port William,GIG_WORKER,15740,15,147910,36,4437,2025-07-30,26851
238,38,New Michael,UNEMPLOYED,24342,19,306761,48,6902,2025-10-15,67678
239,46,Port Karen,GIG_WORKER,25042,13,84844,12,7635,2025-08-01,13405
240,32,Chelseastad,SALARIED,113639,3,369125,36,11073,2025-08-28,35768
241,36,South Jacobborough,SALARIED,78748,2,102944,12,9264,2025-04-20,13513
242,51,Ethantown,SELF_EMPLOYED,63539,8,350201,48,7879,2025-07-14,49531
243,55,Brandonland,UNEMPLOYED,38257,25,328058,36,9841,2025-04-08,76898
244,56,Dennisside,GIG_WORKER,55907,22,75575,36,2267,2025-09-02,26654
245,58,East Stephaniehaven,SELF_EMPLOYED,64186,20,447127,12,40241,2025-03-10,15938
246,25,Lake Rachelshire,SALARIED,110238,5,383041,12,34473,2025-11-27,38826
247,42,New David,SELF_EMPLOYED,30222,10,427488,24,19236,2025-09-30,13349
248,32,Port Lynn,SALARIED,79743,7,147362,36,4420,2025-10-07,21405
249,42,Lake James,SALARIED,86015,5,340480,12,30643,2025-11-17,17261
250,40,Lake Annette,UNEMPLOYED,58372,27,289429,24,13024,2025-12-23,25676
251,32,North Victoria,SALARIED,91889,6,133709,24,6016,2025-07-29,31334
252,38,Port Angel,GIG_WORKER,57931,24,96203,48,2164,2025-03-14,18811
253,54,Port Joshua,SELF_EMPLOYED,54010,9,498501,12,44865,2025-02-16,57485
254,33,South Kennethton,SALARIED,76135,3,318354,36,9550,2025-06-24,36362
255,33,Sandraborough,SALARIED,103798,5,478404,48,10764,2025-11-17,31252
256,23,Mcdonaldville,SELF_EMPLOYED,52989,16,258049,48,5806,2025-10-11,87753
257,23,Gainesview,UNEMPLOYED,47877,10,494958,36,14848,2025-10-21,50077
258,45,Stevenport,SALARIED,76482,4,165377,12,14883,2025-07-04,9450
259,28,Fisherside,GIG_WORKER,55014,19,461280,48,10378,2025-09-22,87472
260,40,Danielshire,SALARIED,83735,7,257870,48,5802,2025-04-25,37267
261,28,West Ashleybury,GIG_WORKER,58435,19,160438,36,4813,2025-07-04,33592
262,30,Marychester,SELF_EMPLOYED,49203,15,100069,12,9006,2025-04-15,52403
263,32,Richardmouth,UNEMPLOYED,57357,22,429450,48,9662,2025-07-04,37397
264,43,West Mary,UNEMPLOYED,31798,25,451749,36,13552,2025-07-13,80345
265,35,East Nicoleland,UNEMPLOYED,43063,10,344333,48,7747,2025-10-29,80399
266,35,West Rebeccaton,GIG_WORKER,47083,10,342062,12,30785,2025-06-22,89205
267,27,Natalieton,UNEMPLOYED,38859,14,78748,36,2362,2025-07-27,49785
268,48,Halechester,SALARIED,90171,4,239755,36,7192,2025-11-17,84213
269,30,Hughesborough,SELF_EMPLOYED,73775,14,289066,24,13007,2025-09-07,59161
270,38,Port Veronicastad,SALARIED,76397,6,249366,12,22442,2025-06-03,77235
271,57,South Peter,UNEMPLOYED,53771,26,131772,36,3953,2025-12-10,78119
272,52,Gonzalesfurt,SELF_EMPLOYED,35449,8,79962,24,3598,2025-07-17,78021
273,29,East Robin,SELF_EMPLOYED,77092,10,443160,12,39884,2025-10-24,59121
274,32,Brownland,GIG_WORKER,19302,11,469999,36,14099,2025-05-01,85276
275,43,Bryantport,GIG_WORKER,58295,18,436639,12,39297,2025-03-22,76886
276,38,Lake Jeffrey,GIG_WORKER,16877,17,292221,12,26299,2025-11-21,45355
277,43,South Patricia,SELF_EMPLOYED,20764,11,228291,36,6848,2025-12-30,27887
278,59,Lindaville,SALARIED,69417,6,463057,48,10418,2025-06-30,10067
279,41,West Lindsey,SELF_EMPLOYED,62877,5,461116,36,13833,2025-03-06,68597
280,52,Nicoleport,GIG_WORKER,54110,15,207884,36,6236,2025-12-27,60557
281,28,Lake Thomasshire,SELF_EMPLOYED,85509,15,179593,48,4040,2025-11-22,80479
282,42,New Joshua,UNEMPLOYED,36856,24,352248,24,15851,2025-03-20,14194
283,56,Myersburgh,UNEMPLOYED,19775,25,224070,12,20166,2025-04-16,66771
284,40,Port Christine,UNEMPLOYED,46071,17,356705,24,16051,2025-08-07,23841
285,57,Christopherville,SELF_EMPLOYED,79226,10,168049,24,7562,2025-05-25,45908
286,51,Ryantown,GIG_WORKER,47001,12,115778,24,5210,2025-08-07,53855
287,59,Peterview,SELF_EMPLOYED,92654,12,452866,36,13585,2025-07-01,28116
288,28,North Stefanie,UNEMPLOYED,27399,20,197939,36,5938,2025-10-26,82970
289,48,Davidside,SALARIED,46284,5,492185,36,14765,2025-07-24,28471
290,37,Port Thomas,GIG_WORKER,32837,15,454139,24,20436,2025-04-22,81267
291,45,South Andrew,UNEMPLOYED,59893,23,77993,36,2339,2025-02-26,73757
292,40,Johnsonmouth,SELF_EMPLOYED,65692,9,172850,36,5185,2025-08-25,52493
293,35,South Gregory,GIG_WORKER,41775,17,499362,24,22471,2025-07-12,32332
294,29,South Jeffburgh,GIG_WORKER,16135,11,327493,48,7368,2025-07-23,54260
295,27,Sylviahaven,SELF_EMPLOYED,69302,16,166034,48,3735,2025-08-06,69599
296,28,New Chase,UNEMPLOYED,59168,20,335943,12,30234,2025-05-22,54825
297,36,East Judy,SELF_EMPLOYED,38402,9,279597,48,6290,2025-11-06,17166
298,25,Tylerberg,SELF_EMPLOYED,62932,17,480346,36,14410,2025-04-20,20551
299,57,East Kyle,GIG_WORKER,20968,19,195201,48,4392,2025-10-28,68165
300,47,Salazarland,SELF_EMPLOYED,35759,6,225818,12,20323,2025-12-12,61672
301,47,South Pamelaview,GIG_WORKER,56429,26,386088,12,34747,2025-04-09,71897
302,41,South Dianaside,UNEMPLOYED,31673,21,164264,36,4927,2025-11-06,17076
303,26,Sherrytown,GIG_WORKER,17186,22,50523,12,4547,2025-09-25,29536
304,30,Andersonchester,UNEMPLOYED,25040,13,407678,12,36691,2025-12-07,69089
305,33,Gutierrezburgh,SALARIED,87192,3,420581,24,18926,2025-08-13,30506
306,41,Gomezport,UNEMPLOYED,27645,20,63201,48,1422,2025-05-02,55312
307,45,South Jennifertown,UNEMPLOYED,45576,19,459766,12,41378,2025-11-12,68080
308,27,Dennisport,SALARIED,26257,5,450585,36,13517,2025-12-21,55118
309,51,Port Jennifer,GIG_WORKER,16196,28,201146,24,9051,2025-02-26,75656
310,59,South Kristy,UNEMPLOYED,37680,27,62302,48,1401,2025-04-09,52210
311,54,Virginiaville,UNEMPLOYED,39169,18,144327,48,3247,2026-01-12,63743
312,57,Alexandratown,UNEMPLOYED,24324,24,230336,24,10365,2025-02-28,14069
313,30,North Christineton,SALARIED,89087,2,221746,48,4989,2025-10-08,15684
314,40,South John,SELF_EMPLOYED,63294,15,233176,24,10492,2025-05-06,11406
315,48,East Jenna,SELF_EMPLOYED,39383,12,268409,24,12078,2025-11-23,31376
316,54,West Joshua,UNEMPLOYED,33677,20,54238,12,4881,2025-05-10,15084
317,24,North William,SELF_EMPLOYED,91378,6,235307,12,21177,2025-04-20,81649
318,25,Jamieberg,UNEMPLOYED,35183,24,333346,24,15000,2025-09-14,5223
319,40,Lake Jacquelinemouth,UNEMPLOYED,24542,25,406097,12,36548,2025-03-29,37082
320,36,Brettmouth,UNEMPLOYED,38615,19,482824,12,43454,2026-01-09,44889
